name,desc,website,location,employees,raised,angel_url,angel_id
Chewse,Chewse delivers family-style office meals from the best local restaurants.,https://angel.co/chewse,San Francisco,11-50,"$16,000,000",https://www.chewse.com/,30557
OpenGov,OpenGov is the leading provider of government performance solutions software,https://angel.co/opengov,Redwood City,51-200,"$47,000,000",https://opengov.com/,899732
Joymode,-,https://angel.co/joymode,-,-,"$3,000,000",-,1936254
Matchmade,Intelligent influencer marketing,https://angel.co/shark-punch,Helsinki,11-50,"$3,030,000",http://matchmade.tv/,356911
NexTravel,Business Travel Made Simple,https://angel.co/nextravel,San Francisco,11-50,-,http://www.nextravel.com,665683
RiskIQ,RiskIQ is the leader in digital threat management,https://angel.co/riskiq,Shawnee,51-200,"$65,500,000",http://www.riskiq.com/,32396
Mode,Collaborative Analytics Platform,https://angel.co/mode,San Francisco,51-200,"$10,425,000",http://modeanalytics.com,282640
Wefunder,"""Kickstarter for investing"".  Saving the American Dream for the next generation.",https://angel.co/wefunder,San Francisco,11-50,"$6,067,000",http://www.wefunder.com,75239
Gigster,Software development on-demand,https://angel.co/gigster,San Francisco,51-200,"$10,000,000",https://gigster.com,244177
Loom.ai,"Personalized expressive 3D avatars from photographs for chat, mobile AR, VR, e-commerce",https://angel.co/loomai,San Francisco,11-50,-,http://loom.ai,1111456
Bidvine,"We make hiring local, trusted service professionals ridiculously simple.",https://angel.co/bidvine,Waterloo,11-50,-,https://www.bidvine.com,515341
Republic,Invest in startups via Republic equity crowdfunding platform,https://angel.co/republic,San Francisco,11-50,-,https://republic.co,1105543
weeSpring,Trusted consumer reviews,https://angel.co/weespring,Boulder,1-10,-,http://www.weespring.com,156064
Scale API,API for human intelligence,https://angel.co/scaleapi,San Francisco,11-50,"$4,500,000",http://scaleapi.com,1160092
Bright,SolarCity for the developing world,https://angel.co/bright-3,San Francisco,1-10,"$4,240,000",http://thinkbright.mx,400547
Wave,Wave makes it easy to be your own boss.,https://angel.co/wavehq,Toronto,51-200,"$33,000,000",http://waveapps.com,47349
Women.com,Publisher/Community striving to speak to the core identity of women.,https://angel.co/women-com-1,Manhattan Beach,1-10,"$1,765,000",https://www.women.com,265929
Wimdu,Simply Better than a Hotel,https://angel.co/wimdu,Berlin,201-500,"$90,000,000",http://www.wimdu.com,61924
Fitbit,-,https://angel.co/fitbit,San Francisco,-,"$66,000,000",http://www.fitbit.com,32178
Seed,Online Business Banking,https://angel.co/seed-8,San Francisco,11-50,"$5,000,000",https://seed.co,462906
Grove Collaborative,"Helping families create a healthy, beautiful environment in their homes",https://angel.co/grovecollab,San Francisco,11-50,"$44,700,000",http://www.grove.co,166017
Mystery Science,Open-and-go lessons that inspire kids to love science.,https://angel.co/mystery-science,San Francisco,11-50,-,http://mysteryscience.com,135064
Yousician,"Revolutionary music platform for anyone to learn, play, create and teach music.",https://angel.co/yousician,Finland,51-200,"$1,400,000",https://company.yousician.com/,20289
Memrise,"Memrise is a Language learning Platform available in iOS, Android and Web.",https://angel.co/memrise,London,51-200,"$6,218,000",http://www.memrise.com,19979
Busbud,The Best Way to Book Bus Tickets,https://angel.co/busbud,Montreal,11-50,"$10,000,000",http://www.busbud.com,176588
Xola,Booking & Distribution Platform for Experience Providers. (Sabre for Activities).,https://angel.co/xola,San Francisco,11-50,"$6,800,000",http://www.xola.com,19935
Opencare,Your personal healthcare expert,https://angel.co/opencare,San Francisco,1-10,-,https://www.opencare.com,175143
Mapillary,A platform for extracting map data from street-level images,https://angel.co/mapillary,Malmö,11-50,"$9,550,000",https://www.mapillary.com/,307889
Rappi,We are the next everything store of Latin America,https://angel.co/rappi,Colombia,501-1000,"$9,000,000",http://Rappi.com,709500
Shipamax (YC W17),"Software for shipbrokers and ship operators (bulk, not containers)",https://angel.co/shipamax,London,1-10,"$2,500,000",http://www.shipamax.com,1053280
8tracks,Internet radio curated by people | 5m MAU,https://angel.co/8tracks,San Francisco,11-50,"$5,100,000",http://8tracks.com,4741
Kiwi Crate,Delivering hands-on creative fun & learning to young makers,https://angel.co/kiwi-crate,Mountain View,11-50,"$7,000,000",http://www.kiwicrate.com,46361
Konsus,On-Demand Business Support,https://angel.co/konsushq,Palo Alto,51-200,"$1,500,000",http://www.konsus.com,478147
Latch,Smart access.,https://angel.co/latch-2,New York City,51-200,"$26,000,000",http://www.Latch.com,698264
Lenda,"We make home loans honest, fast, and completely online.",https://angel.co/lenda,San Francisco,11-50,"$9,000,000",https://www.lenda.com,214025
Triplebyte,Intelligent technical recruiting,https://angel.co/triplebyte,San Francisco,11-50,"$3,000,000",https://triplebyte.com,696603
