name,desc,angelListUrl,location,employees,raised,website
Pocket Gems,Pioneering mobile games and entertainment,https://angel.co/pocket-gems,San Francisco,201-500,"$65,000,000",http://www.pocketgems.com
Expa,Expa builds companies,https://angel.co/expa,San Francisco,11-50,"$150,000,000",http://www.expa.com
EDITED,"Right product, right price, right time.",https://angel.co/edited,London,51-200,"$6,000,000",http://edited.com/
Triplemint,The refreshingly simple way to find your home,https://angel.co/triplemint,New York City,11-50,"$6,500,000",http://www.triplemint.com
Silversheet,-,https://angel.co/silversheet,United States,11-50,"$5,200,000",http://www.silversheet.com
Drift,Drift is the leading conversation-driven marketing and sales platform.,https://angel.co/heydrift,San Francisco,51-200,"$47,000,000",http://www.drift.com/
Yelp,Connecting people with great local businesses,https://angel.co/yelp,San Francisco,1001-5000,"$121,000,000",http://yelp.com
Designlab,Training the world's creative talent,https://angel.co/designlab,San Francisco,11-50,-,http://www.trydesignlab.com
Moment,"Photography gear, travel, and inspiration",https://angel.co/moment-2,Seattle,11-50,"$4,700,000",https://www.shopmoment.com/
Layer,"Imagine, Design, and Engage in the Perfect Customer Conversation",https://angel.co/layer,San Francisco,11-50,"$22,000,000",https://layer.com/
Maker,Content engagement platform for commerce,https://angel.co/maker,San Francisco,1-10,-,http://maker.me/
WePay,Driving the future of ecommerce via integrated payments,https://angel.co/wepay,Redwood City,201-500,"$74,150,000",http://www.wepay.com
MemSQL,The Real-Time Data Warehouse You Can Run Anywhere,https://angel.co/memsql,San Francisco,51-200,"$81,100,000",http://www.memsql.com
Yogome,Learning Games Platform for Kids,https://angel.co/yogome,San Francisco,-,-,http://yogome.com
StartX,The @Stanford Startup Accelerator ,https://angel.co/startx,Palo Alto,11-50,-,http://startx.stanford.edu
Freedom Financial Network,-,https://angel.co/freedom-financial-network,San Mateo,501-1000,"$100,500,000",http://www.freedomfinancialnetwork.com/
Renoviso,Ecommerce for home renovation projects,https://angel.co/renoviso,Boston,11-50,"$11,900,000",https://renoviso.com
ThirdLove,We believe fit should come first,https://angel.co/thirdlove-1,San Francisco,51-200,"$13,600,000",http://www.thirdlove.com
Alation,Connecting people with the data they need,https://angel.co/alation,Redwood City,11-50,"$9,000,000",http://alation.com
ReSci (Retention Science),AI Marketing Platform,https://angel.co/retention-science,Santa Monica,51-200,-,http://www.retentionscience.com
Kairos,#1 Facial Rec company on AngelList. We love Enterprise. We love SaaS. We love Mobile. ,https://angel.co/kairos,Miami,11-50,"$2,900,000",https://www.kairos.com
Latch,Smart access.,https://angel.co/latch-2,New York City,51-200,"$26,000,000",http://www.Latch.com
Rippling,Throw away your new new hire checklist.,https://angel.co/rippling,-,-,"$7,500,000",https://www.rippling.com/
Mode,Data collection from physical world,https://angel.co/mode-inc,San Mateo,1-10,"$2,075,000",http://www.tinkermode.com/
Hush,We're creating the best beauty experience on mobile,https://angel.co/hush-10,Los Angeles,11-50,"$2,000,000",http://shophush.com
Kahuna,Customer Engagement Platform for Mobile and Web,https://angel.co/kahuna,Redwood City,51-200,"$58,000,000",http://www.Kahuna.com
Zendrive,Making roads safer with data and analytics.,https://angel.co/zendrive,San Francisco,11-50,"$16,500,000",http://www.zendrive.com
Ambition,Optimizing Sales Performance ,https://angel.co/ambition,Chattanooga,11-50,"$4,800,000",http://tryambition.com
WayBetter,Bet on yourself!,https://angel.co/waybetter,New York City,11-50,"$4,750,000",http://www.waybetter.com
Even,Opportunity for everyone.,https://angel.co/even,Oakland,11-50,"$10,500,000",http://even.com
Shift,"Shift makes buying, owning, and selling cars delightful.",https://angel.co/shift,San Francisco,51-200,"$73,800,000",http://driveshift.com
FullContact,Stay fully connected. Master your contacts. Be awesome with people.,https://angel.co/fullcontact,Denver,201-500,"$50,868,000",https://www.fullcontact.com
OneSignal,Mobile Messaging & Advertising Data Platform,https://angel.co/onesignal,Mountain View,11-50,"$9,470,000",https://onesignal.com
Outschool,Community marketplace of live online classes for K-12,https://angel.co/outschool,San Francisco,1-10,-,https://outschool.com
Breather,"Beautiful, private spaces to work, meet and focus.",https://angel.co/breather,Montreal,51-200,"$67,500,000",http://breather.com
Cognito,"Frictionless, modern identity verification that starts with just a phone number.",https://angel.co/cognitohq,Palo Alto,1-10,"$2,000,000",https://cognitohq.com
Formlabs,High resolution 3D printing. Designed for your desktop.,https://angel.co/formlabs,Cambridge,201-500,"$58,600,000",http://formlabs.com
Base CRM,The next generation of CRM software. Made for people,https://angel.co/base-crm,Palo Alto,51-200,"$52,900,000",http://www.getbase.com
PowerReviews,-,https://angel.co/powerreviews,Chicago,51-200,"$71,180,000",http://www.powerreviews.com/
Assist,The chatbot platform for the enterprise. ,https://angel.co/assist,San Francisco,11-50,"$5,500,000",http://assi.st
Pure Storage,-,https://angel.co/pure-storage,Mountain View,-,"$534,856,500",http://www.purestorage.com/
Sendwithus,Email Automation API for Enterprise,https://angel.co/sendwithus,Victoria,11-50,"$7,300,000",http://www.sendwithus.com
MixRank,Competitive Sales Intelligence,https://angel.co/mixrank,San Francisco,11-50,"$1,500,000",http://mixrank.com
Eden,The Best Way to Manage Your Office,https://angel.co/eden,San Francisco,51-200,"$13,300,000",http://www.eden.io
LendUp,We build products for the underbanked that improve financial health. ,https://angel.co/lendup,San Francisco,201-500,"$261,500,000",http://www.lendup.com
DemystData,Data Integration Technology for Financial Services,https://angel.co/demystdata,Singapore,51-200,"$12,000,000",https://demyst.com/
Zocdoc,-,https://angel.co/zocdoc,Scottsdale,501-1000,"$377,000,000",http://www.zocdoc.com
ParkWhiz,Helping build the future of mobility by making parking easy for all,https://angel.co/parkwhiz,Chicago,51-200,"$36,000,000",https://www.parkwhiz.com
Toymail,The mobile phone re-imagined for kids,https://angel.co/toymail-co,New York City,1-10,-,http://www.toymail.co
Pana,Modern corporate travel platform,https://angel.co/pana,Denver,11-50,"$1,550,000",http://pana.com
Zinc,An Ecommerce Plumbing Company (YC W14),https://angel.co/zinc-technologies,San Francisco,11-50,-,https://zinc.io
Hipcamp,Discover and book original camping experiences,https://angel.co/hipcamp,San Francisco,11-50,"$2,000,000",http://www.hipcamp.com/
Wepow,Video Interviewing Platform,https://angel.co/wepow,Guadalajara,11-50,"$5,400,000",http://www.wepow.com/
Bitfusion.io,Supercomputing for the masses,https://angel.co/bitfusion-io,Austin,1-10,-,http://bitfusion.io
Reputation.com,Turn your customers into brand champions.,https://angel.co/reputation-com,Redwood City,201-500,"$87,650,000",http://www.reputation.com/
Opencare,Your personal healthcare expert,https://angel.co/opencare,San Francisco,1-10,-,https://www.opencare.com
Point,Home Equity Marketplace,https://angel.co/point-4,Palo Alto,11-50,"$8,400,000",https://point.com
Trace,Video highlights and player performance automatically.,https://angel.co/traceup,Los Angeles,11-50,"$2,600,000",http://www.traceup.com/
Occipital,Bringing spatial computing to everyday life,https://angel.co/occipital,Boulder,51-200,"$21,515,000",http://www.occipital.com/
CompStak,Bringing Transparency to Commercial Real Estate Information,https://angel.co/compstak,London,11-50,"$10,025,000",http://www.compstak.com
IActionable,Employee Performance Management through Gamification,https://angel.co/iactionable,Provo,1-10,-,http://iactionable.com
Le Tote,"Online fashion subscription service, delivering rental fashion directly to women’s doors.",https://angel.co/letote,San Francisco,201-500,"$60,000,000",http://www.letote.com
Klaviyo,Changing how businesses send email.,https://angel.co/klaviyo,Boston,51-200,"$1,500,000",http://www.klaviyo.com
Arthena,Invest in Art Online (YC W17),https://angel.co/arthena,Palo Alto,1-10,-,https://arthena.com
Looklive,Community and Marketplace for Men's fashion.,https://angel.co/looklive,San Francisco,1-10,-,https://www.looklive.com
Synack,Crowd Security Intelligence,https://angel.co/synack,Redwood City,51-200,"$34,000,000",http://www.synack.com
